,LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate,zip_code_5,Minority,YearApproved,NAICS_6,LongName,IndustrySubsector,NAICS_4,BorrowerName - Clean
128,4615838400,02/06/2021,912.0,PPS,THE JAPANESE FEAST INC.,5800 3rd St Ste 1001,San Francisco,CA,94124-3149,0,Exemption 4,60,100,146749.0,146749.0,0.0,,529111.0,"FC Marketplace, LLC (dba Funding Circle)","85 2nd Street, Floor 4",San Francisco,CA,94105,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94124-3149,CA-12,8,722310.0,Asian,Not Hispanic or Latino,1.0,146743.0,0.0,0.0,0.0,0.0,0.0,Corporation,529111.0,"FC Marketplace, LLC (dba Funding Circle)",San Francisco,CA,Male Owned,Non-Veteran,,0.0,,94124.0,Yes,2021,722310.0,Food Service Contractors,Special Food Services,7223.0,THE JAPANESE FEAST
151,4876128408,02/07/2021,912.0,PPS,TIN VIETNAMESE CUISINE,937 Howard St,San Francisco,CA,94103-4108,0,Exemption 4,60,100,145833.0,145833.0,0.0,,524612.0,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94103-4108,CA-12,5,722511.0,Asian,Not Hispanic or Latino,1.0,145828.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,524612.0,Fountainhead SBF LLC,LAKE MARY,FL,Male Owned,Non-Veteran,,0.0,,94103.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,TIN VIETNAMESE CUISINE
171,1918967706,05/01/2020,912.0,PPP,SASA JAPANESE RESTAURANT,22 PEACE PLZ STE 530,SAN FRANCISCO,CA,94115,05/21/2021,Paid in Full,24,100,145232.0,145232.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,Y,Y,New Business or 2 years or less,SAN FRANCISCO,SAN FRANCISCO,CA,94115-0001,CA-12,13,722511.0,Asian,Not Hispanic or Latino,3000.0,116186.0,0.0,22046.0,0.0,4000.0,0.0,Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,146603.88,04/14/2021,94115.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SASA JAPANESE RESTAURANT
172,9128917203,04/28/2020,912.0,PPP,K-101 RESTAURANT,5723 Geary Boulevard,San Francisco,CA,94121,0,Exemption 4,24,100,145212.0,145212.0,0.0,,92028.0,Kinecta FCU,1440 Rosecrans Ave,MANHATTAN BEACH,CA,90266-3702,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94121-0001,CA-12,24,722511.0,Asian,Not Hispanic or Latino,0.0,145212.0,0.0,0.0,0.0,0.0,0.0,Corporation,92028.0,Kinecta FCU,MANHATTAN BEACH,CA,Male Owned,Non-Veteran,,146591.51,04/14/2021,94121.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,K-101 RESTAURANT
188,7360818907,05/07/2021,912.0,PPS,EL BUEN COMER LLC,3435 Mission St,San Francisco,CA,94110-5419,0,Exemption 4,60,100,144538.0,144538.0,0.0,,458339.0,Self-Help FCU,301 W Main St,DURHAM,NC,27701-3215,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94110-5419,CA-12,12,722511.0,Unanswered,Hispanic or Latino,1.0,144535.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),458339.0,Self-Help FCU,DURHAM,NC,Male Owned,Unanswered,,0.0,,94110.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,EL BUEN COMER
191,9276998301,01/30/2021,912.0,PPS,LAM HUYNH GROUP LLC,343 Clement St,San Francisco,CA,94118-2315,0,Exemption 4,60,100,144452.0,144452.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94118-2315,CA-12,10,722511.0,Asian,Not Hispanic or Latino,1.0,144446.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,0.0,,94118.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,LAM HUYNH GROUP
194,2580017209,04/16/2020,912.0,PPP,NOODLE THEORY,6099 Claremont Ave,Oakland,CA,94618,0,Exemption 4,24,100,144364.0,144364.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Existing or more than 2 years old,Oakland,ALAMEDA,CA,94618-1000,CA-13,26,722511.0,Asian,Unknown/NotStated,0.0,144364.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),456756.0,Cross River Bank,TEANECK,NJ,Unanswered,Unanswered,,0.0,,94618.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,NOODLE THEORY
203,1060638608,03/12/2021,912.0,PPS,LAS VEGAS COLLISION,1729 Junction Ave,San Jose,CA,95112-1010,0,Exemption 4,60,100,143995.0,143995.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95112-1010,CA-17,11,541990.0,Asian,Not Hispanic or Latino,1.0,143992.0,0.0,0.0,0.0,0.0,0.0,Corporation,456756.0,Cross River Bank,TEANECK,NJ,Male Owned,Non-Veteran,,0.0,,95112.0,Yes,2021,541990.0,"All Other Professional, Scientific, and Technical Services","Other Professional, Scientific, and Technical Services",5419.0,LAS VEGAS COLLISION
233,4805148406,02/06/2021,912.0,PPS,KPP BEER INC.,1230 Market St,San Francisco,CA,94102-4801,05/15/2021,Paid in Full,60,100,143137.0,143137.0,0.0,,529472.0,"Capital Plus Financial, LLC",2247 Central Drive,Bedford,TX,76021,U,Y,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94102-4801,CA-12,5,722511.0,Asian,Not Hispanic or Latino,0.0,143137.0,0.0,0.0,0.0,0.0,0.0,Corporation,5597.0,Hanmi Bank,LOS ANGELES,CA,Female Owned,Non-Veteran,,0.0,,94102.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,KPP BEER
253,4490898402,02/06/2021,912.0,PPS,THANH HUONG II CORPORATION,2593 Senter Rd,San Jose,CA,95111-1017,0,Exemption 4,60,100,142329.22,142329.22,0.0,,110352.0,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,Y,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95111-1017,CA-19,16,722511.0,Asian,Unknown/NotStated,1.0,142325.22,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,110352.0,First Bank of the Lake,OSAGE BEACH,MO,Male Owned,Unanswered,,0.0,,95111.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,THANH HUONG II
255,3131837207,04/16/2020,912.0,PPP,SPICE KIT INC,405 HOWARD ST STE 130,SAN FRANCISCO,CA,94105-4618,05/19/2021,Paid in Full,24,100,142317.0,142317.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,SAN FRANCISCO,SAN FRANCISCO,CA,94105-4618,CA-12,19,722320.0,Asian,Unknown/NotStated,0.0,142317.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,143708.98,04/15/2021,94105.0,Yes,2020,722320.0,Caterers,Special Food Services,7223.0,SPICE KIT
265,1628128307,01/19/2021,912.0,PPS,PICNIC GROUP CORPORATION,983 Valencia St,San Francisco,CA,94110-2320,0,Exemption 4,60,100,142009.0,142009.0,0.0,,434922.0,Bank of San Francisco,"575 Market St, Ste 900",SAN FRANCISCO,CA,94105-2823,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94110-2320,CA-12,12,722513.0,Asian,Not Hispanic or Latino,1.0,142004.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,434922.0,Bank of San Francisco,SAN FRANCISCO,CA,Male Owned,Non-Veteran,,0.0,,94110.0,Yes,2021,722513.0,Limited-Service Restaurants ,Restaurants and Other Eating Places,7225.0,PICNIC GROUP
273,7163537105,04/14/2020,912.0,PPP,TREATBOT INC.,566 S Almaden Ave Fl 2,San Jose,CA,95110-2718,03/23/2021,Paid in Full,24,100,141700.0,141700.0,0.0,,474333.0,First Republic Bank,111 Pine St,SAN FRANCISCO,CA,94111-5602,U,Y,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95110-2718,CA-19,11,711320.0,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,800.0,130400.0,0.0,3800.0,0.0,5600.0,1100.0,Corporation,474333.0,First Republic Bank,SAN FRANCISCO,CA,Female Owned,Non-Veteran,,142903.48,02/19/2021,95110.0,Yes,2020,711320.0,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ","Promoters of Performing Arts, Sports, and Similar Events",7113.0,TREATBOT
274,7589428307,01/28/2021,912.0,PPS,LANAI GARDEN CORPORATION,1575 Tully Rd,San Jose,CA,95122-2459,0,Exemption 4,60,100,141653.0,141653.0,0.0,,123118.0,"Transportation Alliance Bank, Inc. d/b/a TAB Bank, Inc.","4185 Harrison Blvd, Ste 200",OGDEN,UT,84403-6400,U,Y,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95122-2459,CA-19,16,721110.0,Unanswered,Hispanic or Latino,1.0,141651.0,0.0,0.0,0.0,0.0,0.0,Corporation,123118.0,"Transportation Alliance Bank, Inc. d/b/a TAB Bank, Inc.",OGDEN,UT,Male Owned,Non-Veteran,,0.0,,95122.0,Yes,2021,721110.0,Hotels (except Casino Hotels) and Motels ,Traveler Accommodation,7211.0,LANAI GARDEN
312,8990748310,01/30/2021,912.0,PPS,BAMBOO FISH INC,5945 Almaden Expy Ste 120,San Jose,CA,95120-5922,0,Exemption 4,60,100,140161.0,140161.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95120-5922,CA-18,10,722511.0,Asian,Unknown/NotStated,1.0,140156.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,0.0,,95120.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,BAMBOO FISH
331,7393018507,03/05/2021,912.0,PPS,TOMISUSHI RESTAURANT INC,368 Castro St,Mountain View,CA,94041-1206,0,Exemption 4,60,100,140000.0,140000.0,0.0,,11822.0,"MUFG Union Bank, National Association","400 California St., Mailcode 4-455-212",SAN FRANCISCO,CA,94104,U,N,N,Existing or more than 2 years old,Mountain View,SANTA CLARA,CA,94041-1206,CA-18,19,722511.0,Asian,Not Hispanic or Latino,1.0,139997.0,0.0,0.0,0.0,0.0,0.0,Corporation,11822.0,"MUFG Union Bank, National Association",SAN FRANCISCO,CA,Male Owned,Non-Veteran,,0.0,,94041.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,TOMISUSHI RESTAURANT
335,8160038310,01/29/2021,912.0,PPS,MARISCOS COSTA ALEGRE LLC,855 N 13th St,San Jose,CA,95112-1529,0,Exemption 4,60,100,140000.0,140000.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95112-1529,CA-19,23,722511.0,American Indian or Alaska Native,Hispanic or Latino,1.0,139998.0,0.0,0.0,0.0,0.0,0.0,Limited  Liability Company(LLC),9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,0.0,,95112.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,MARISCOS COSTA ALEGRE
341,1682608408,02/02/2021,912.0,PPS,TGEC INC.,840 Ulloa St,San Francisco,CA,94127-1117,0,Exemption 4,60,100,139944.0,139944.0,0.0,,48270.0,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94127-1117,CA-14,10,722511.0,Asian,Not Hispanic or Latino,1.0,139942.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,48270.0,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Male Owned,Non-Veteran,,0.0,,94127.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,TGEC
346,9911107209,04/28/2020,912.0,PPP,PACIFIC COLLISION,98 Hegenberger Loop,OAKLAND,CA,94621,0,Exemption 4,24,100,139837.0,139837.0,0.0,,14315.0,Bank of the West,180 Montgomery St 25th Fl,SAN FRANCISCO,CA,94104-4206,U,Y,Y,Unanswered,OAKLAND,ALAMEDA,CA,94621-0001,CA-13,12,811111.0,Unanswered,Hispanic or Latino,0.0,139837.0,0.0,0.0,0.0,0.0,0.0,Corporation,14315.0,Bank of the West,SAN FRANCISCO,CA,Male Owned,Non-Veteran,,0.0,,94621.0,Yes,2020,811111.0,General Automotive Repair ,Automotive Repair and Maintenance,8111.0,PACIFIC COLLISION
355,8364978301,01/29/2021,912.0,PPS,SANTA FE BAR & GRILL,181 E Tasman Dr,San Jose,CA,95134-3361,0,Exemption 4,60,100,139573.0,139573.0,0.0,,14315.0,Bank of the West,180 Montgomery St 25th Fl,SAN FRANCISCO,CA,94104-4206,U,N,Y,Existing or more than 2 years old,San Jose,SANTA CLARA,CA,95134-3361,CA-17,39,722511.0,Asian,Not Hispanic or Latino,1.0,139567.0,0.0,0.0,0.0,0.0,0.0,Corporation,14315.0,Bank of the West,SAN FRANCISCO,CA,Male Owned,Non-Veteran,,0.0,,95134.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,SANTA FE BAR & GRILL
357,5746087703,05/01/2020,912.0,PPP,"DEFNE, INC",150 E 4TH AVE,SAN MATEO,CA,94401-4005,03/17/2021,Paid in Full,24,100,139522.0,139522.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,SAN MATEO,SAN MATEO,CA,94401-4005,CA-14,15,999990.0,Asian,Not Hispanic or Latino,0.0,139522.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,140592.31,02/10/2021,94401.0,Yes,2020,999990.0,,,,DEFNE
364,3081088509,02/22/2021,912.0,PPP,YAYA LOVE INC,2139 Roosevelt Ave,Redwood City,CA,94061-1351,0,Exemption 4,60,100,139300.0,139300.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Redwood City,SAN MATEO,CA,94061-1351,CA-18,27,722511.0,Asian,Not Hispanic or Latino,1.0,139294.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Female Owned,Non-Veteran,,0.0,,94061.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,YAYA LOVE
370,3355448301,01/22/2021,912.0,PPS,LITTLE SZECHUAN,501 Broadway,San Francisco,CA,94133-4506,0,Exemption 4,60,100,139178.0,139178.0,0.0,,456756.0,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,Y,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94133-4506,CA-12,14,722511.0,Asian,Not Hispanic or Latino,1.0,139175.0,0.0,0.0,0.0,0.0,0.0,Corporation,456756.0,Cross River Bank,TEANECK,NJ,Female Owned,Non-Veteran,,0.0,,94133.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,LITTLE SZECHUAN
372,3381327101,04/11/2020,912.0,PPP,TOP CAFE INC.,650 BARBER LN,MILPITAS,CA,95035-7923,04/16/2021,Paid in Full,24,100,139100.0,139100.0,0.0,,119918.0,East West Bank,"135 N Los Robles Ave, 7th Fl",PASADENA,CA,91101-4525,U,N,N,Existing or more than 2 years old,MILPITAS,SANTA CLARA,CA,95035-7923,CA-17,18,722511.0,Asian,Not Hispanic or Latino,0.0,139100.0,0.0,0.0,0.0,0.0,0.0,Subchapter S Corporation,119918.0,East West Bank,PASADENA,CA,Male Owned,Non-Veteran,,140386.67,03/16/2021,95035.0,Yes,2020,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,TOP CAFE
373,3637408505,02/24/2021,912.0,PPS,MARIO CORPORATION,1915 Dry Creek Rd,Campbell,CA,95008-3628,0,Exemption 4,60,100,139027.0,139027.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,Existing or more than 2 years old,Campbell,SANTA CLARA,CA,95008-3628,CA-18,13,722511.0,Asian,Not Hispanic or Latino,1.0,139021.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,95008.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,MARIO
403,5545808509,03/01/2021,912.0,PPS,CHINATOWN RESTAURANT INC,744 Washington St,San Francisco,CA,94108-1305,0,Exemption 4,60,100,138000.0,138000.0,0.0,,9551.0,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,Y,Existing or more than 2 years old,San Francisco,SAN FRANCISCO,CA,94108-1305,CA-12,18,722511.0,Asian,Not Hispanic or Latino,1.0,137994.0,0.0,0.0,0.0,0.0,0.0,Corporation,9551.0,"Bank of America, National Association",CHARLOTTE,NC,Male Owned,Non-Veteran,,0.0,,94108.0,Yes,2021,722511.0,Full-Service Restaurants ,Restaurants and Other Eating Places,7225.0,CHINATOWN RESTAURANT
